type,title,topic,date,sentiment_distribution,profiles,product_insights,user_behavior,recommendations,user_id,timestamp,total_posts,unique_users,average_likes,average_comments
topic,Technology,technology,2025-03-22 13:20:54,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-22 13:20:54,,,,
topic,Technology,technology,2025-03-22 13:20:59,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-22 13:20:59,,,,
topic,Technology,technology,2025-03-22 18:58:21,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-22 18:58:21,,,,
topic,technology,technology,2025-03-22 18:58:52,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-22 18:58:52,,,,
topic,Technology,Technology,2025-03-22 19:05:39,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-22 19:05:39,,,,
topic,Technology,Fitness,2025-03-22 19:06:05,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-22 19:06:05,,,,
topic,Technology,Technology,2025-03-22 19:17:52,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],2,2025-03-22 19:17:52,,,,
topic,technology,technology,2025-03-22 19:31:56,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-22 19:31:56,,,,
topic,technology,technology,2025-03-22 19:45:31,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-22 19:45:31,,,,
topic,Technology,technology,2025-03-23 09:29:34,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-23 09:29:34,,,,
topic,Technology,technology,2025-03-23 09:37:49,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-23 09:37:49,,,,
topic,Fitness,fitness,2025-03-23 09:38:07,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-23 09:38:07,,,,
topic,Technology,technology,2025-03-23 09:49:05,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-23 09:49:05,,,,
topic,Technology,fitness,2025-03-23 09:49:14,"{'positive': 0, 'neutral': 0, 'negative': 0}",[],"{'price_range': {'min': 0, 'max': 0, 'avg': 0}, 'top_categories': []}","{'posting_patterns': {}, 'engagement_trends': {}}",[],1,2025-03-23 09:49:14,,,,
